model,seed,K,variant,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_s,5,30,aniso_decoupled,0.013085874718610195,-5.790393404232069e-05,0.004815864671283381,0.013143778652652515,1.3154229201278975,0.11957558985650207,0.008505099452784751,74.8247392177582
dinov2_s,6,30,aniso_decoupled,0.01680721379223414,0.0005932396884966037,0.00430160212303461,0.016213974103737542,1.5449026444241871,0.11961813138031845,0.009379887337965772,67.12585401535034
dinov2_s,7,30,aniso_decoupled,0.015209066016010785,-0.0001116346657673392,0.004393391428847251,0.015320700681778125,1.5116846412095255,0.1182178128149898,0.009046579221889513,73.60907340049744
dinov2_s,8,30,aniso_decoupled,0.015029636607346825,0.0003740351430370853,0.003190417148702925,0.01465560146430974,1.518165275525865,0.11958564118429628,0.008797000660166575,54.99532103538513
dinov2_s,9,30,aniso_decoupled,0.013535521515803796,0.0005878671008892527,0.0037621372818485775,0.012947654414914543,1.349197190024812,0.11839566066949092,0.008608231013560825,72.89325833320619
i21k_b,0,30,aniso_decoupled,-0.012968661422619016,0.0013977916019235425,0.0026086730340880537,-0.01436645302454256,-1.4729010551865338,0.07294885806530588,0.006739376601493742,169.4660096168518
i21k_b,1,30,aniso_decoupled,-0.01092830710403758,-9.652268547868658e-05,0.0037471609821467322,-0.010831784418558895,-1.0703664833426916,0.07484135095798494,0.007307703505607102,163.9365780353546
i21k_b,2,30,aniso_decoupled,-0.011959604866098079,0.00015737393754746142,0.003535574182331408,-0.012116978803645543,-1.2560416723435956,0.07313472568134148,0.005244783153596938,157.88915467262268
i21k_b,3,30,aniso_decoupled,-0.014587034125665381,0.0008401696254969353,0.0023524070038115647,-0.015427203751162315,-1.7556043978267564,0.07289447754963548,0.005771698949731167,166.5462462902069
i21k_b,4,30,aniso_decoupled,-0.008620393154563588,0.0005537068319935682,0.0018623448381836077,-0.009174099986557157,-1.2591056255753728,0.07695982311349538,0.005471601995186244,168.60449171066284
i21k_b,5,30,aniso_decoupled,-0.015418465378969959,0.0009407326110872596,0.0035770664826000596,-0.01635919799005722,-1.7124403969236168,0.07116871464675936,0.005908700629856251,167.21179437637332
i21k_b,6,30,aniso_decoupled,-0.009055224877825356,0.0007083093948129768,0.0033608190034505195,-0.009763534272638331,-1.098310550939366,0.07652625109771169,0.0060449591011047825,167.75732135772702
i21k_b,7,30,aniso_decoupled,-0.0132890261437964,-0.00039615462965168633,0.00233784262509553,-0.012892871514144715,-1.2269654648996542,0.07355933743569637,0.00475451378486975,162.66610407829285
i21k_b,8,30,aniso_decoupled,-0.012331993169139159,0.0018242986842831946,0.0031249950272978755,-0.014156291853422357,-1.5221722513330431,0.07294870297893473,0.0075347643455307015,173.6595642566681
i21k_b,9,30,aniso_decoupled,-0.013380111875611405,0.0001559671810960339,0.0030192442686216244,-0.013536079056707435,-1.6621989393331689,0.07148694100941144,0.004560976424957639,164.9822156429291
i21k_l,0,30,aniso_decoupled,-0.016012800892335588,-0.0010429050412625606,0.0033695357484874442,-0.014969895851073028,-1.4385737466506596,0.07217400951982393,0.005898474239633684,199.46473503112796
i21k_l,1,30,aniso_decoupled,-0.017127902653006732,0.00011234527456940036,0.003535291360979117,-0.017240247927576134,-1.815311287801317,0.0723162584737926,0.005059341982465101,161.6538791656494
i21k_l,2,30,aniso_decoupled,-0.015467262661375228,0.00030830148412118176,0.003121532639961122,-0.01577556414549641,-1.70782973349324,0.07133093750255254,0.005783729637987182,153.48187828063962
i21k_l,3,30,aniso_decoupled,-0.015442855524411438,0.0011073172214270137,0.002265756928144971,-0.01655017274583845,-1.7665710767773253,0.07152432952992968,0.006515514915882977,122.7209370136261
i21k_l,4,30,aniso_decoupled,-0.013478897434966886,0.00030671016160461334,0.002454927929605491,-0.0137856075965715,-1.4427501244365517,0.07358467174075986,0.005434479154831811,114.7628698348999
i21k_l,5,30,aniso_decoupled,-0.013807857269428596,-0.00039668027225118335,0.003092869427745964,-0.013411176997177414,-1.4155600714147705,0.07435231768387329,0.005644420700615432,105.90260767936708
i21k_l,6,30,aniso_decoupled,-0.018288509930877536,-0.0010775386545550686,0.0022008229069631143,-0.01721097127632247,-1.9285571133058619,0.06904494949158016,0.00566918021303769,107.5415575504303
i21k_l,7,30,aniso_decoupled,-0.015588443299196106,-0.0008678294090656999,0.00311499084609793,-0.014720613890130406,-1.7017823108164354,0.07170451964196609,0.006066752919268281,74.60496258735655
i21k_l,8,30,aniso_decoupled,-0.013071577425946557,-0.002088723924896217,0.0033532732137602924,-0.01098285350105034,-1.4022224677911568,0.0727054827870375,0.005144226557092511,98.32238245010376
i21k_l,9,30,aniso_decoupled,-0.015116711405490119,-0.00029757329882509204,0.0024766709596978657,-0.014819138106665028,-1.5069103987793635,0.07269823094926202,0.005743657212786185,79.57680702209474
